sn,age,sex,cond,reptime,trial,repcond,imcat,imnum,loc,resp,corr,rt,imname
 2,25,1,2, 7,16,1,1,19,4,1,1,716.49,famous_male19.jpg
 2,25,1,2, 7,17,1,2, 5,3,2,1,580.47,famous_female05.jpg
 2,25,1,2, 7,18,1,1, 4,4,1,1,588.45,famous_male04.jpg
 2,25,1,2, 7,19,1,2,11,3,2,1,540.46,famous_female11.jpg
 2,25,1,2, 7,20,1,2,20,3,2,1,764.44,famous_female20.jpg
 2,25,1,2, 7,21,1,2,18,2,2,1,628.39,famous_female18.jpg
 2,25,1,2, 7,22,1,2,21,1,2,1,716.41,famous_female21.jpg
 2,25,1,2, 7,23,1,2, 6,4,2,1,692.39,famous_female06.jpg
 2,25,1,2, 7,24,1,1, 9,1,1,1,732.37,famous_male09.jpg
 2,25,1,2, 8, 1,1,1,24,3,1,1,550.84,famous_male24.jpg
 2,25,1,2, 8, 2,1,1,18,4,1,1,446.78,famous_male18.jpg
 2,25,1,2, 8, 3,1,2, 8,4,2,1,454.79,famous_female08.jpg
 2,25,1,2, 8, 4,1,2,13,1,2,1,590.76,famous_female13.jpg
 2,25,1,2, 8, 5,1,2,24,1,2,1,622.76,famous_female24.jpg
 2,25,1,2, 8, 6,1,1,16,3,1,1,598.74,famous_male16.jpg
 2,25,1,2, 8, 7,1,2, 3,4,2,1,670.74,famous_female03.jpg
 2,25,1,2, 8, 8,1,2,11,3,2,1,558.73,famous_female11.jpg
 2,25,1,2, 8, 9,1,2, 5,3,2,1,614.72,famous_female05.jpg
 2,25,1,2, 8,10,1,2, 6,4,2,1,606.72,famous_female06.jpg
 2,25,1,2, 8,11,1,1, 5,2,1,1,550.67,famous_male05.jpg
 2,25,1,2, 8,12,1,1, 9,1,1,1,502.63,famous_male09.jpg
 2,25,1,2, 8,13,1,2,20,3,2,1,558.66,famous_female20.jpg
 2,25,1,2, 8,14,1,2,18,2,2,1,526.63,famous_female18.jpg
 2,25,1,2, 8,15,1,1,19,4,1,1,598.62,famous_male19.jpg
 2,25,1,2, 8,16,1,1,15,1,1,1,454.62,famous_male15.jpg
 2,25,1,2, 8,17,1,1, 7,3,1,1,422.60,famous_male07.jpg
 2,25,1,2, 8,18,1,1,23,2,1,1,573.25,famous_male23.jpg
 2,25,1,2, 8,19,1,1, 4,4,1,1,486.57,famous_male04.jpg
 2,25,1,2, 8,20,1,1,22,1,1,1,438.56,famous_male22.jpg
 2,25,1,2, 8,21,1,2,14,2,2,1,494.54,famous_female14.jpg
 2,25,1,2, 8,22,1,2,21,1,2,1,598.54,famous_female21.jpg
 2,25,1,2, 8,23,1,1,11,2,1,1,582.52,famous_male11.jpg
 2,25,1,2, 8,24,1,2,22,2,2,1,486.50,famous_female22.jpg
 3,24,2,1, 1, 1,1,2,12,4,2,1,867.23,unknown_female12.jpg
 3,24,2,1, 1, 2,1,1,18,1,1,1,515.47,unknown_male18.jpg
 3,24,2,1, 1, 3,1,1, 6,4,1,1,451.22,unknown_male06.jpg
 3,24,2,1, 1, 4,1,1,19,1,1,1,547.18,unknown_male19.jpg
 3,24,2,1, 1, 5,1,2,11,3,2,1,715.20,unknown_female11.jpg
 3,24,2,1, 1, 6,1,2,20,1,2,1,491.17,unknown_female20.jpg
 3,24,2,1, 1, 7,1,1, 4,1,1,1,515.16,unknown_male04.jpg
 3,24,2,1, 1, 8,1,1,14,3,1,1,506.70,unknown_male14.jpg
 3,24,2,1, 1, 9,1,2, 7,4,2,1,466.15,unknown_female07.jpg
 3,24,2,1, 1,10,1,2, 3,3,2,1,458.13,unknown_female03.jpg
 3,24,2,1, 1,11,1,1, 7,3,1,1,403.08,unknown_male07.jpg
 3,24,2,1, 1,12,1,1,21,2,1,1,426.80,unknown_male21.jpg
 3,24,2,1, 1,13,1,1, 9,4,1,1,427.06,unknown_male09.jpg
 3,24,2,1, 1,14,1,2,13,3,2,1,426.08,unknown_female13.jpg
 3,24,2,1, 1,15,1,2,15,1,2,1,578.06,unknown_female15.jpg
 3,24,2,1, 1,16,1,1,11,3,1,1,515.05,unknown_male11.jpg
 3,24,2,1, 1,17,1,2,23,2,2,1,651.03,unknown_female23.jpg
 3,24,2,1, 1,18,1,1,17,4,1,1,418.97,unknown_male17.jpg
 3,24,2,1, 1,19,1,2, 5,1,2,1,506.00,unknown_female05.jpg
 3,24,2,1, 1,20,1,2, 9,2,2,1,458.95,unknown_female09.jpg
 3,24,2,1, 1,21,1,2,19,2,2,1,418.93,unknown_female19.jpg
 3,24,2,1, 1,22,1,1,12,2,2,2,426.93,unknown_male12.jpg
 3,24,2,1, 1,23,1,2,16,4,2,1,417.97,unknown_female16.jpg
 3,24,2,1, 1,24,1,1,24,2,1,1,514.90,unknown_male24.jpg
 3,24,2,1, 2, 1,1,2,23,2,2,1,602.94,unknown_female23.jpg
 3,24,2,1, 2, 2,1,1,19,1,1,1,474.85,unknown_male19.jpg
 3,24,2,1, 2, 3,1,1, 6,4,1,1,458.82,unknown_male06.jpg
 3,24,2,1, 2, 4,1,1, 4,1,1,1,409.86,unknown_male04.jpg
 3,24,2,1, 2, 5,1,2,15,1,2,1,458.80,unknown_female15.jpg
 3,24,2,1, 2, 6,1,2,20,1,2,1,489.83,unknown_female20.jpg
 3,24,2,1, 2, 7,1,1,12,2,1,1,458.80,unknown_male12.jpg
 3,24,2,1, 2, 8,1,2, 9,2,2,1,538.81,unknown_female09.jpg
 3,24,2,1, 2, 9,1,2,19,2,2,1,546.75,unknown_female19.jpg
 3,24,2,1, 2,10,1,2,13,3,2,1,538.78,unknown_female13.jpg
 3,24,2,1, 2,11,1,1,11,3,1,1,634.68,unknown_male11.jpg
 3,24,2,1, 2,12,1,2, 5,1,2,1,602.74,unknown_female05.jpg
 3,24,2,1, 2,13,1,1,24,2,1,1,538.69,unknown_male24.jpg
 3,24,2,1, 2,14,1,1,21,2,1,1,554.71,unknown_male21.jpg
 3,24,2,1, 2,15,1,1,14,3,1,1,458.66,unknown_male14.jpg
 3,24,2,1, 2,16,1,2, 7,4,2,1,594.64,unknown_female07.jpg
 3,24,2,1, 2,17,1,1,18,1,1,1,650.67,unknown_male18.jpg
 3,24,2,1, 2,18,1,1,17,4,1,1,626.62,unknown_male17.jpg
 3,24,2,1, 2,19,1,2,11,3,2,1,514.61,unknown_female11.jpg
 3,24,2,1, 2,20,1,2, 3,3,2,1,706.59,unknown_female03.jpg
 3,24,2,1, 2,21,1,2,16,4,2,1,578.59,unknown_female16.jpg
 3,24,2,1, 2,22,1,2,12,4,2,1,602.62,unknown_female12.jpg
 3,24,2,1, 2,23,1,1, 9,4,1,1,450.55,unknown_male09.jpg
 3,24,2,1, 2,24,1,1, 7,3,1,1,417.61,unknown_male07.jpg
 3,24,2,1, 3, 1,1,2,19,2,2,1,539.42,unknown_female19.jpg
 3,24,2,1, 3, 2,1,1,11,3,1,1,507.36,unknown_male11.jpg
 3,24,2,1, 3, 3,1,2,20,1,2,1,547.33,unknown_female20.jpg
 3,24,2,1, 3, 4,1,1, 7,3,1,1,467.38,unknown_male07.jpg
 3,24,2,1, 3, 5,1,1,18,1,1,1,507.35,unknown_male18.jpg
 3,24,2,1, 3, 6,1,1, 4,1,1,1,442.35,unknown_male04.jpg
 3,24,2,1, 3, 7,1,1,14,3,1,1,411.32,unknown_male14.jpg
 3,24,2,1, 3, 8,1,1, 6,4,1,1,386.33,unknown_male06.jpg
 3,24,2,1, 3, 9,1,2, 3,3,2,1,515.25,unknown_female03.jpg
 3,24,2,1, 3,10,1,2,12,4,2,1,595.28,unknown_female12.jpg
 3,24,2,1, 3,11,1,2, 9,2,2,1,507.25,unknown_female09.jpg
 3,24,2,1, 3,12,1,1,19,1,1,1,410.25,unknown_male19.jpg
 3,24,2,1, 3,13,1,1,12,2,1,1,386.26,unknown_male12.jpg
 3,24,2,1, 3,14,1,2,16,4,2,1,459.18,unknown_female16.jpg
 3,24,2,1, 3,15,1,2, 7,4,2,1,555.18,unknown_female07.jpg
 3,24,2,1, 3,16,1,1,17,4,2,2,787.22,unknown_male17.jpg
 3,24,2,1, 3,17,1,1, 9,4,1,1,867.16,unknown_male09.jpg
 3,24,2,1, 3,18,1,2,11,3,2,1,531.13,unknown_female11.jpg
 3,24,2,1, 3,19,1,1,21,2,1,1,562.17,unknown_male21.jpg
 3,24,2,1, 3,20,1,2,15,1,2,1,546.17,unknown_female15.jpg
 3,24,2,1, 3,21,1,1,24,2,1,1,498.16,unknown_male24.jpg
 3,24,2,1, 3,22,1,2, 5,1,2,1,555.07,unknown_female05.jpg
 3,24,2,1, 3,23,1,2,13,3,2,1,483.07,unknown_female13.jpg
 3,24,2,1, 3,24,1,2,23,2,2,1,587.05,unknown_female23.jpg
 3,24,2,1, 4, 1,1,2,23,2,2,1,509.92,unknown_female23.jpg
 3,24,2,1, 4, 2,1,1, 6,4,1,1,550.05,unknown_male06.jpg
 3,24,2,1, 4, 3,1,1,19,1,1,1,949.94,unknown_male19.jpg
 3,24,2,1, 4, 4,1,2,11,3,2,1,484.99,unknown_female11.jpg
 3,24,2,1, 4, 5,1,1,17,4,1,1,477.92,unknown_male17.jpg
 3,24,2,1, 4, 6,1,1,12,2,1,1,469.91,unknown_male12.jpg
 3,24,2,1, 4, 7,1,2, 5,1,2,1,485.88,unknown_female05.jpg
 3,24,2,1, 4, 8,1,2,15,1,2,1,605.87,unknown_female15.jpg
 3,24,2,1, 4, 9,1,2,12,4,2,1,413.90,unknown_female12.jpg
 3,24,2,1, 4,10,1,1, 4,1,1,1,429.87,unknown_male04.jpg
 3,24,2,1, 4,11,1,1, 9,4,1,1,525.83,unknown_male09.jpg
 3,24,2,1, 4,12,1,1,18,1,1,1,452.89,unknown_male18.jpg
 3,24,2,1, 4,13,1,2, 3,3,2,1,717.85,unknown_female03.jpg
 3,24,2,1, 4,14,1,1,21,2,1,1,509.83,unknown_male21.jpg
 3,24,2,1, 4,15,1,1, 7,3,1,1,700.76,unknown_male07.jpg
 3,24,2,1, 4,16,1,2, 7,4,2,1,533.80,unknown_female07.jpg
 3,24,2,1, 4,17,1,1,11,3,1,1,773.75,unknown_male11.jpg
 3,24,2,1, 4,18,1,1,14,3,1,1,549.74,unknown_male14.jpg
 3,24,2,1, 4,19,1,2,20,1,2,1,549.74,unknown_female20.jpg
 3,24,2,1, 4,20,1,2,16,4,2,1,541.73,unknown_female16.jpg
 3,24,2,1, 4,21,1,2,19,2,2,1,501.76,unknown_female19.jpg
 3,24,2,1, 4,22,1,2,13,3,2,1,556.74,unknown_female13.jpg
 3,24,2,1, 4,23,1,1,24,2,1,1,468.74,unknown_male24.jpg
 3,24,2,1, 4,24,1,2, 9,2,2,1,669.68,unknown_female09.jpg
 3,24,2,1, 5, 1,1,1, 9,4,1,1,577.29,unknown_male09.jpg
 3,24,2,1, 5, 2,1,2,11,3,2,1,473.25,unknown_female11.jpg
 3,24,2,1, 5, 3,1,1,24,2,1,1,416.31,unknown_male24.jpg
 3,24,2,1, 5, 4,1,1,19,1,1,1,480.28,unknown_male19.jpg
 3,24,2,1, 5, 5,1,1, 4,1,1,1,441.25,unknown_male04.jpg
 3,24,2,1, 5, 6,1,1,12,2,1,1,401.20,unknown_male12.jpg
 3,24,2,1, 5, 7,1,1,18,1,1,1,433.21,unknown_male18.jpg
 3,24,2,1, 5, 8,1,2,13,3,2,1,841.19,unknown_female13.jpg
 3,24,2,1, 5, 9,1,2,15,1,2,1,609.21,unknown_female15.jpg
 3,24,2,1, 5,10,1,2, 7,4,2,1,537.16,unknown_female07.jpg
 3,24,2,1, 5,11,1,2,12,4,2,1,456.19,unknown_female12.jpg
 3,24,2,1, 5,12,1,1,17,4,1,1,425.14,unknown_male17.jpg
 3,24,2,1, 5,13,1,2,20,1,2,1,537.13,unknown_female20.jpg
 3,24,2,1, 5,14,1,2,19,2,2,1,512.17,unknown_female19.jpg
 3,24,2,1, 5,15,1,2, 9,2,2,1,672.13,unknown_female09.jpg
 3,24,2,1, 5,16,1,2, 5,1,2,1,425.07,unknown_female05.jpg
 3,24,2,1, 5,17,1,1, 6,4,1,1,720.03,unknown_male06.jpg
 3,24,2,1, 5,18,1,1, 7,3,1,1,992.10,unknown_male07.jpg
 3,24,2,1, 5,19,1,2,16,4,2,1,585.03,unknown_female16.jpg
 3,24,2,1, 5,20,1,2,23,2,2,1,497.02,unknown_female23.jpg
 3,24,2,1, 5,21,1,2, 3,3,2,1,416.06,unknown_female03.jpg
 3,24,2,1, 5,22,1,1,14,3,1,1,400.99,unknown_male14.jpg
 3,24,2,1, 5,23,1,1,11,3,1,1,697.02,unknown_male11.jpg
 3,24,2,1, 5,24,1,1,21,2,1,1,457.01,unknown_male21.jpg
 3,24,2,1, 6, 1,1,2,11,3,2,1,532.59,unknown_female11.jpg
 3,24,2,1, 6, 2,1,1,14,3,1,1,483.63,unknown_male14.jpg
 3,24,2,1, 6, 3,1,1, 6,4,1,1,492.57,unknown_male06.jpg
 3,24,2,1, 6, 4,1,1,21,2,1,1,411.58,unknown_male21.jpg
 3,24,2,1, 6, 5,1,2,19,2,2,1,772.53,unknown_female19.jpg
 3,24,2,1, 6, 6,1,1,17,4,1,1,484.53,unknown_male17.jpg
 3,24,2,1, 6, 7,1,1,19,1,1,1,499.57,unknown_male19.jpg
 3,24,2,1, 6, 8,1,2,12,4,2,1,564.50,unknown_female12.jpg
 3,24,2,1, 6, 9,1,1, 7,3,1,1,572.49,unknown_male07.jpg
 3,24,2,1, 6,10,1,1,12,2,1,1,564.47,unknown_male12.jpg
 3,24,2,1, 6,11,1,2,13,3,2,1,547.50,unknown_female13.jpg
 3,24,2,1, 6,12,1,1, 4,1,1,1,476.44,unknown_male04.jpg
 3,24,2,1, 6,13,1,2,23,2,2,1,516.42,unknown_female23.jpg
 3,24,2,1, 6,14,1,2, 5,1,2,1,572.43,unknown_female05.jpg
 3,24,2,1, 6,15,1,2,15,1,2,1,388.36,unknown_female15.jpg
 3,24,2,1, 6,16,1,2,16,4,2,1,419.43,unknown_female16.jpg
 3,24,2,1, 6,17,1,1,18,1,2,2,444.37,unknown_male18.jpg
