SID,Trial,Familiarity,Repetition,AscLoc,SrcResp,Corr,RT,Confident,ImgName
5,65,1,1,2,1,0,3145.04,3,wordex5.png
5,66,1,1,3,3,1,1491.2,3,wordin2_6.png
5,67,2,1,2,1,0,2136.43,1,nonwin9.png
5,68,1,2,4,1,0,12233.96,3,wordex2.png
5,69,1,2,2,2,1,4350.66,3,wordin2_7.png
5,70,1,2,2,1,0,1334.08,3,wordex2_6.png
5,71,1,1,2,1,0,4570.88,3,wordex2_8.png
5,72,1,2,1,1,1,1733.64,4,wordex3.png
5,73,1,1,2,1,0,2784.07,4,wordin2_8.png
5,74,1,2,4,3,0,2617.37,2,wordin5.png
5,75,2,1,2,4,0,6770.01,3,nonwin2_1.png
5,76,2,2,1,3,0,8166.78,2,nonwex7.png
5,77,1,2,4,4,1,2576.62,4,wordin2_3.png
5,78,2,1,4,1,0,2156.97,2,nonwex6.png
5,79,2,1,4,3,0,2448.9,3,nonwex2_12.png
5,80,2,1,4,3,0,1169.09,3,nonwin12.png
6,1,2,1,4,2,0,4110.02,1,nonwex2_10.png
6,2,1,2,2,2,1,2022.86,2,wordin10.png
6,3,1,2,2,3,0,2500.66,1,wordin9.png
6,4,1,2,4,3,0,2144.28,2,wordex10.png
6,5,2,2,1,4,0,1834.22,2,nonwex5.png
6,6,2,1,2,1,0,2626.55,3,nonwex2_9.png
6,7,1,2,4,1,0,2191.24,1,wordin7.png
6,8,1,1,3,1,0,1368.87,1,wordin2_2.png
6,9,1,1,2,2,1,2046.5,3,wordex2_9.png
6,10,2,1,2,2,1,893.39,4,nonwex2.png
6,11,1,2,1,2,0,1999.15,4,wordex2_5.png
6,12,2,1,1,1,1,1385.14,1,nonwin2.png
6,13,1,1,2,2,1,1417.53,4,wordex2.png
6,14,1,2,3,1,0,934.39,4,wordin2_12.png
6,15,2,2,1,3,0,1224.69,1,nonwin8.png
6,16,2,2,2,1,0,931.63,1,nonwex2_6.png
6,17,1,2,3,1,0,1463.66,2,wordex2_6.png
6,18,2,2,2,1,0,1851.9,2,nonwex4.png
6,19,2,2,1,1,1,1073.78,4,nonwin2_3.png
6,20,1,1,2,1,0,1462.08,4,wordex3.png
6,21,2,1,4,3,0,1069.43,2,nonwex2_11.png
6,22,1,1,3,2,0,1655.63,2,wordin2_10.png
6,23,1,1,4,2,0,1532.45,2,wordin3.png
6,24,1,1,4,2,0,982.94,2,wordin8.png
6,25,1,1,3,1,0,992.86,3,wordin12.png
6,26,2,2,3,1,0,1308.47,4,nonwex6.png
6,27,1,2,3,3,1,1227.85,1,wordex7.png
6,28,1,2,4,4,1,4038.66,2,wordex5.png
6,29,2,1,1,4,0,1473.66,1,nonwex8.png
6,30,2,2,4,1,0,1970.1,1,nonwin2_7.png
6,31,2,1,2,1,0,1146.7,1,nonwin5.png
6,32,1,1,1,1,1,1534.75,1,wordex12.png
6,33,2,2,4,1,0,811.32,1,nonwin2_4.png
6,34,2,1,3,1,0,1156.66,2,nonwex2_5.png
6,35,1,2,4,2,0,1458.4,3,wordex2_12.png
6,36,1,2,3,3,1,997.24,1,wordin6.png
6,37,1,2,1,1,1,890.69,1,wordin2_3.png
6,38,2,1,3,1,0,1008.3,1,nonwex2_4.png
6,39,2,2,2,1,0,1057.31,1,nonwin2_10.png
6,40,1,1,1,1,1,837.01,1,wordex8.png
6,41,2,2,4,1,0,562.43,1,nonwin2_8.png
6,42,2,2,3,1,0,953.02,1,nonwin12.png
6,43,2,1,3,3,1,1435.12,1,nonwex2_12.png
6,44,2,1,4,1,0,1100.62,2,nonwin2_11.png
6,45,1,2,4,1,0,1869.41,2,wordin2_7.png
6,46,2,1,2,1,0,1246.45,2,nonwex2_1.png
6,47,1,2,1,4,0,1225.1,1,wordex2_11.png
6,48,2,1,3,1,0,1412.77,1,nonwin9.png
6,49,2,1,4,1,0,1178.03,1,nonwin3.png
6,50,2,2,3,3,1,758.5,1,nonwex12.png
6,51,1,1,2,1,0,910.61,1,wordin2_9.png
6,52,1,2,1,1,1,1347.46,4,wordin11.png
6,53,1,1,4,1,0,1382.62,2,wordex11.png
6,54,1,2,2,2,1,1798.28,1,wordex2_4.png
6,55,2,2,1,2,0,1028.55,1,nonwin6.png
6,56,1,2,1,1,1,1348.13,4,wordex2_8.png
6,57,1,1,1,1,1,1684.67,1,wordex2_10.png
6,58,2,2,1,1,1,827.68,1,nonwex10.png
6,59,1,1,2,1,0,969.05,2,wordin2_4.png
6,60,2,1,4,3,0,1141.47,2,nonwin2_6.png
6,61,2,2,4,3,0,1068.9,2,nonwex2_7.png
6,62,2,1,1,3,0,643.72,1,nonwex2_2.png
6,63,1,2,2,1,0,1138.99,2,wordin2_5.png
6,64,1,2,3,1,0,748.49,1,wordex2_3.png
6,65,2,2,4,2,0,807.89,3,nonwin11.png
6,66,1,1,1,1,1,1023.01,2,wordin2_8.png
6,67,2,2,2,4,0,1504.93,1,nonwin2_1.png
6,68,2,1,1,1,1,855.29,1,nonwin10.png
6,69,2,2,3,1,0,841.29,1,nonwex9.png
