SID,Trial,Repetition,AscLoc,ScrResp,Corr,RT,Confident,ImgName
9,20,2,4,1,0,1719.75,1,nonwin4.png
9,21,1,3,3,1,5113.22,2,nonwin12.png
9,22,2,2,3,0,3004.73,3,nonwex2_2.png
9,23,2,2,3,0,1672.41,3,nonwin2_10.png
9,24,2,4,4,1,1350.99,3,nonwin2_12.png
9,25,1,4,4,1,2360.17,4,nonwin2_2.png
9,26,1,2,1,0,2080.03,1,nonwex3.png
9,27,2,2,2,1,2241.06,2,nonwin2_6.png
9,28,2,4,1,0,2437.67,1,nonwin5.png
9,29,2,4,4,1,1270.87,4,nonwin2_9.png
9,30,2,3,3,1,2704.88,4,nonwex10.png
9,31,1,2,4,0,4159.7,2,nonwex2_7.png
9,32,1,2,1,0,1986.61,2,nonwex11.png
9,33,1,4,2,0,6215.06,2,nonwex2_9.png
9,34,2,2,2,1,2340.99,3,nonwex12.png
9,35,1,2,1,0,1240.85,1,nonwex8.png
9,36,1,1,1,1,3225.46,2,nonwex2.png
9,37,1,3,3,1,2105.13,2,nonwex6.png
9,38,2,3,4,0,4672.63,1,nonwex2_3.png
9,39,1,4,3,0,1150.99,1,nonwex2_8.png
9,40,2,3,3,1,1611.22,4,nonwin2_5.png
9,41,2,2,4,0,1388.77,4,nonwin11.png
9,42,1,2,4,0,1452.95,4,nonwin2.png
9,43,2,1,1,1,986.35,4,nonwin3.png
9,44,2,3,1,0,4403.51,3,nonwin10.png
9,45,2,3,1,0,3457.22,1,nonwex1.png
9,46,1,1,3,0,788.37,4,nonwin8.png
9,47,2,1,1,1,1208.82,3,nonwex5.png
9,48,1,3,2,0,1707.54,2,nonwex2_11.png
10,1,1,2,1,0,6497.52,1,nonwex7.png
10,2,1,3,3,1,2570.52,4,nonwin11.png
10,3,1,3,2,0,2676.2,1,nonwex9.png
10,4,2,3,1,0,1358.04,1,nonwin2_5.png
10,5,1,1,4,0,1980.59,1,nonwin2.png
10,6,1,4,2,0,811.1,1,nonwex2_8.png
10,7,1,1,2,0,910.86,2,nonwin4.png
10,8,1,4,1,0,701.42,1,nonwin2_7.png
10,9,2,2,2,1,546.85,1,nonwin2_9.png
10,10,2,2,4,0,649.8,1,nonwex2_6.png
10,11,2,1,4,0,695.96,1,nonwex1.png
10,12,1,1,1,1,1171.34,1,nonwin1.png
10,13,1,1,2,0,1071.2,1,nonwex2_11.png
10,14,1,3,4,0,896.04,1,nonwex3.png
10,15,2,1,2,0,1081.36,1,nonwin3.png
10,16,2,1,1,1,1083.23,1,nonwex2_4.png
10,17,2,3,4,0,604.22,2,nonwin7.png
10,18,2,2,2,1,935.69,2,nonwin2_3.png
10,19,1,2,3,0,1571.32,1,nonwex2.png
10,20,2,4,4,1,692.48,1,nonwex2_2.png
10,21,2,4,1,0,559.98,1,nonwin10.png
10,22,2,3,2,0,560.73,1,nonwex2_10.png
10,23,2,3,3,1,1684.09,1,nonwin2_4.png
10,24,1,2,2,1,495.69,1,nonwex2_5.png
10,25,2,2,2,1,1032.6,4,nonwin2_2.png
10,26,1,3,4,0,1262.89,1,nonwex2_9.png
10,27,1,1,1,1,3663.85,4,nonwin2_12.png
10,28,1,2,2,1,951.43,4,nonwin6.png
10,29,1,4,2,0,1626.84,2,nonwin2_11.png
