SID,Familiarity,Trial,Repetition,ImgCat,Loc,Resp,Corr,RT,ImgName
46,1,36,2,2,2,2,1,747.49,famous_female21.jpg
46,1,37,2,1,2,2,1,887.54,famous_male09.jpg
46,1,38,1,1,1,1,1,651.65,famous_male11.jpg
46,1,39,1,1,4,4,1,999.74,famous_male19.jpg
46,1,40,1,2,4,4,1,819.81,famous_female15.jpg
46,1,41,2,1,4,4,1,711.91,famous_male22.jpg
46,1,42,2,1,3,3,1,667.96,famous_male24.jpg
46,1,43,1,1,1,1,1,1072.12,famous_male23.jpg
46,1,44,2,1,3,3,1,796.18,famous_male16.jpg
46,1,45,2,2,4,4,1,768.23,famous_female06.jpg
46,1,46,2,2,3,3,1,932.37,famous_female03.jpg
46,1,47,1,2,2,2,1,936.46,famous_female10.jpg
46,1,48,1,2,3,3,1,1596.53,famous_female05.jpg
47,2,1,1,2,3,3,1,756.01,unknown_female16.jpg
47,2,2,2,2,2,2,1,1000.17,unknown_female24.jpg
47,2,3,2,2,4,4,1,1020.22,unknown_female03.jpg
47,2,4,2,2,4,4,1,936.34,unknown_female10.jpg
47,2,5,1,1,1,1,1,996.39,unknown_male02.jpg
47,2,6,1,1,1,1,1,856.5,unknown_male22.jpg
47,2,7,2,1,3,3,1,900.61,unknown_male01.jpg
47,2,8,2,1,3,3,1,848.65,unknown_male08.jpg
47,2,9,1,2,1,1,1,828.78,unknown_female01.jpg
47,2,10,2,1,4,4,1,856.87,unknown_male13.jpg
47,2,11,1,1,2,2,1,660.95,unknown_male21.jpg
47,2,12,1,1,1,1,1,705.01,unknown_male15.jpg
47,2,13,2,2,3,3,1,925.14,unknown_female20.jpg
47,2,14,2,1,2,2,1,777.22,unknown_male06.jpg
47,2,15,1,1,3,3,1,741.31,unknown_male20.jpg
47,2,16,2,2,1,1,1,913.36,unknown_female04.jpg
47,2,17,1,2,1,1,1,1013.42,unknown_female17.jpg
47,2,18,2,2,2,2,1,897.56,unknown_female05.jpg
47,2,19,1,1,4,4,1,1021.61,unknown_male11.jpg
47,2,20,2,2,1,1,1,833.75,unknown_female09.jpg
47,2,21,1,2,3,3,1,989.81,unknown_female13.jpg
47,2,22,1,1,3,3,1,1097.89,unknown_male23.jpg
47,2,23,1,1,4,4,1,717.97,unknown_male04.jpg
47,2,24,1,1,3,3,1,802.08,unknown_male10.jpg
47,2,25,2,2,3,3,1,966.18,unknown_female15.jpg
47,2,26,1,2,2,2,1,738.27,unknown_female18.jpg
47,2,27,2,2,3,3,1,990.35,unknown_female14.jpg
47,2,28,1,2,2,2,1,754.44,unknown_female06.jpg
47,2,29,1,1,2,2,1,822.5,unknown_male17.jpg
47,2,30,2,2,1,1,1,1026.62,unknown_female02.jpg
47,2,31,1,2,4,4,1,1150.66,unknown_female11.jpg
47,2,32,2,1,4,4,1,1050.79,unknown_male18.jpg
47,2,33,2,1,4,4,1,838.89,unknown_male12.jpg
47,2,34,1,2,3,3,1,834.88,unknown_female23.jpg
47,2,35,1,1,2,2,1,615.06,unknown_male07.jpg
47,2,36,1,2,4,4,1,915.09,unknown_female19.jpg
47,2,37,1,1,4,4,1,831.24,unknown_male14.jpg
47,2,38,2,1,1,1,1,811.31,unknown_male16.jpg
47,2,39,2,2,4,4,1,1071.41,unknown_female07.jpg
47,2,40,2,1,3,3,1,731.5,unknown_male19.jpg
47,2,41,2,1,2,2,1,743.57,unknown_male03.jpg
47,2,42,1,2,4,4,1,731.67,unknown_female08.jpg
47,2,43,2,2,2,2,1,583.76,unknown_female22.jpg
47,2,44,1,2,1,1,1,955.8,unknown_female12.jpg
47,2,45,2,1,1,1,1,943.89,unknown_male24.jpg
47,2,46,1,2,2,2,1,820.02,unknown_female21.jpg
47,2,47,2,1,2,2,1,1128.05,unknown_male05.jpg
