SID,RepTime,Trial,Resp,Corr,RT,ImgName
2,8,24,2,1,630.75,nonwex2.png
3,1,1,2,1,1130.61,nonwin10.png
3,1,2,2,1,853.98,nonwin2_8.png
3,1,3,1,1,886.7,nonwex2_2.png
3,1,4,2,1,855.46,nonwin2_5.png
3,1,5,1,1,992.15,nonwex2_7.png
3,1,6,2,1,848.92,nonwex6.png
3,1,7,1,1,745.61,nonwin2_2.png
3,1,8,2,1,866.3,nonwex11.png
3,1,9,2,1,819.04,nonwin2_3.png
3,1,10,1,1,627.81,nonwex4.png
3,1,11,1,1,807.24,nonwex2_4.png
3,1,12,1,1,786.57,nonwin2_1.png
3,1,13,1,1,877.98,nonwex2_6.png
3,1,14,1,1,737.37,nonwin2_9.png
3,1,15,1,1,716.8,nonwin8.png
3,1,16,2,1,840.21,nonwin2_4.png
3,1,17,1,1,699.59,nonwex2_10.png
3,1,18,2,1,783.05,nonwin3.png
3,1,19,2,1,794.42,nonwin2_10.png
3,1,20,1,1,773.85,nonwin12.png
3,1,21,1,1,665.23,nonwex12.png
3,1,22,2,1,764.6,nonwex1.png
3,1,23,2,1,805.15,nonwin5.png
3,1,24,2,1,736.69,nonwin7.png
3,2,1,1,1,613.66,nonwex2_7.png
3,2,2,2,1,694.37,nonwin2_10.png
3,2,3,1,1,807.1,nonwex6.png
3,2,4,1,1,607.83,nonwin2_9.png
3,2,5,2,1,712.59,nonwin7.png
3,2,6,2,1,785.31,nonwex2_6.png
3,2,7,1,1,650.04,nonwex4.png
3,2,8,1,1,626.74,nonwin8.png
3,2,9,2,1,611.47,nonwin2_4.png
3,2,10,1,1,628.21,nonwin2_1.png
3,2,11,1,1,636.93,nonwin2_2.png
3,2,12,1,1,613.67,nonwex2_10.png
3,2,13,2,1,550.36,nonwin2_8.png
3,2,14,2,1,559.14,nonwin10.png
3,2,15,1,1,511.87,nonwex2_4.png
3,2,16,2,1,696.54,nonwin12.png
3,2,17,1,1,497.32,nonwex2_2.png
3,2,18,1,1,490.05,nonwex12.png
3,2,19,2,1,541.45,nonwin2_5.png
3,2,20,2,1,534.14,nonwex1.png
3,2,21,2,1,614.9,nonwin3.png
3,2,22,2,1,735.61,nonwex11.png
3,2,23,2,1,712.37,nonwin5.png
3,2,24,2,1,625.05,nonwin2_3.png
3,3,1,1,1,610.68,nonwin2_1.png
3,3,2,1,1,491.47,nonwex2_7.png
3,3,3,1,1,700.19,nonwex6.png
3,3,4,2,1,596.87,nonwin2_10.png
3,3,5,2,1,541.65,nonwin2_8.png
3,3,6,2,1,646.39,nonwin2_3.png
3,3,7,2,1,519.11,nonwin7.png
3,3,8,2,1,847.79,nonwex2_6.png
3,3,9,2,1,688.57,nonwin12.png
3,3,10,2,1,537.25,nonwex11.png
3,3,11,1,1,482.02,nonwex4.png
3,3,12,1,1,570.75,nonwin2_9.png
3,3,13,1,1,459.48,nonwex2_2.png
3,3,14,2,1,612.2,nonwin2_5.png
3,3,15,2,1,564.92,nonwin2_4.png
3,3,16,2,1,525.66,nonwex1.png
3,3,17,1,1,678.36,nonwin2_2.png
3,3,18,1,1,535.1,nonwex2_10.png
3,3,19,1,1,495.8,nonwex2_4.png
3,3,20,1,1,560.55,nonwex12.png
3,3,21,2,1,569.25,nonwin5.png
