SID,Trial,Repetition,AscLoc,ScrResp,Corr,RT,Confident,ImgName
7,16,2,2,4,0,3295.51,1,unfamfemale21.jpg
7,17,1,4,3,0,1809.55,2,unfammale38.jpg
7,18,1,3,4,0,3056.35,1,unfamfemale15.jpg
7,19,1,1,4,0,2343.8,2,capture002 copy.jpg
7,20,2,4,1,0,1718.95,3,unfammale28.jpg
7,21,2,1,1,1,3141.69,1,capture005 copy.jpg
7,22,1,3,2,0,2866.39,2,unfammale05.jpg
7,23,2,3,2,0,1407.23,2,unfamfemale32.jpg
7,24,1,1,1,1,1576.48,3,unfammale21.jpg
7,25,2,4,1,0,1308.53,1,unfammale16.jpg
7,26,1,4,4,1,1944.31,3,capture017 copy.jpg
7,27,1,3,4,0,1673.85,3,unfamfemale26.jpg
7,28,1,3,3,1,1302.51,1,unfamfemale03.jpg
7,29,2,1,3,0,1333.26,1,unfammale33.jpg
7,30,2,3,2,0,2169.66,1,capture012 copy.jpg
7,31,2,1,3,0,1320.78,2,capture016 copy.jpg
7,32,1,2,2,1,2180.42,2,unfamfemale20.jpg
7,33,2,2,2,1,3555.64,3,unfamfemale08.jpg
7,34,1,2,2,1,3683.18,1,unfammale23.jpg
7,35,2,1,1,1,1474.67,3,unfamfemale37.jpg
7,36,2,2,2,1,4300.29,1,unfammale12.jpg
7,37,1,4,3,0,1337.79,3,unfammale02.jpg
7,38,2,2,2,1,3456.34,2,capture003 copy.jpg
7,39,1,4,3,0,3397.27,3,unfammale08.jpg
7,40,2,2,4,0,1730.18,1,capture011 copy.jpg
7,41,1,4,2,0,1361.07,3,unfamfemale06.jpg
7,42,2,3,3,1,4370.15,4,capture020 copy.jpg
7,43,2,4,2,0,2047.61,3,unfamfemale17.jpg
7,44,2,4,4,1,1339.75,3,unfamfemale10.jpg
7,45,1,2,3,0,1437.02,2,unfammale25.jpg
7,46,1,3,3,1,1814.34,2,unfammale39.jpg
7,47,1,3,1,0,4898.55,2,unfammale19.jpg
7,48,1,2,2,1,1338.65,1,unfamfemale38.jpg
8,1,1,3,2,0,4684.99,3,unfamfemale04.jpg
8,2,1,2,2,1,4076.98,3,capture020 copy.jpg
8,3,2,1,1,1,1644.42,4,capture010 copy.jpg
8,4,1,4,2,0,2563.16,3,capture003 copy.jpg
8,5,1,4,2,0,3047.8,3,capture012 copy.jpg
8,6,2,3,1,0,3863.38,1,unfammale02.jpg
8,7,2,4,4,1,3359.06,4,capture001 copy.jpg
8,8,2,3,3,1,2470.34,4,unfammale08.jpg
8,9,1,4,2,0,3317.2,2,capture013 copy.jpg
8,10,2,3,3,1,5626.11,3,capture002 copy.jpg
8,11,2,2,4,0,4301.04,3,unfamfemale15.jpg
8,12,1,1,1,1,2481.96,4,capture015 copy.jpg
8,13,1,2,1,0,5545.38,3,capture005 copy.jpg
8,14,2,3,3,1,2755.94,4,unfammale21.jpg
8,15,2,3,3,1,1419.29,4,capture017 copy.jpg
8,16,2,4,4,1,2340.64,4,unfamfemale05.jpg
8,17,2,4,2,0,3376.81,1,unfammale25.jpg
8,18,2,2,2,1,1669.77,1,unfammale23.jpg
8,19,2,2,2,1,2116.43,3,unfamfemale20.jpg
8,20,2,1,1,1,1555.08,4,unfammale19.jpg
8,21,1,1,1,1,2524.77,2,unfammale12.jpg
8,22,1,4,4,1,4225.19,4,unfamfemale37.jpg
8,23,1,3,2,0,2230.24,2,unfammale28.jpg
8,24,2,4,4,1,2378.59,2,unfamfemale26.jpg
8,25,2,1,2,0,4569.74,1,unfamfemale38.jpg
8,26,1,2,2,1,4159.26,2,capture016 copy.jpg
8,27,1,1,3,0,2721.74,2,unfamfemale08.jpg
8,28,1,3,3,1,10043.94,2,unfammale33.jpg
8,29,2,2,2,1,2651.25,3,unfammale14.jpg
8,30,2,4,3,0,2391.75,2,unfammale39.jpg
8,31,2,1,4,0,3534.95,2,unfamfemale03.jpg
8,32,1,4,4,1,1403.74,4,capture021 copy.jpg
8,33,1,2,1,0,5901.28,3,unfamfemale21.jpg
8,34,1,2,4,0,2264.33,4,unfamfemale17.jpg
8,35,1,3,3,1,2444.76,2,capture011 copy.jpg
8,36,2,1,1,1,4895.09,1,unfammale05.jpg
8,37,2,3,1,0,3127.13,3,unfamfemale24.jpg
8,38,2,1,1,1,1622.85,3,unfamfemale06.jpg
8,39,1,1,1,1,2760.48,4,unfamfemale10.jpg
8,40,2,2,2,1,1708.94,2,unfammale18.jpg
8,41,1,3,4,0,1763.85,4,unfamfemale32.jpg
8,42,1,4,4,1,797.12,4,unfamfemale40.jpg
8,43,1,3,2,0,6038.29,1,unfamfemale01.jpg
8,44,2,4,2,0,2942.59,1,unfammale38.jpg
8,45,1,1,2,0,1595.07,2,unfammale09.jpg
8,46,2,2,1,0,2905.71,2,unfamfemale39.jpg
8,47,1,1,2,0,1558.69,2,unfammale16.jpg
8,48,1,2,2,1,895.99,2,unfammale35.jpg
9,1,1,2,2,1,8348.95,2,unfammale18.jpg
9,2,1,2,1,0,5252.59,2,unfammale39.jpg
9,3,1,4,4,1,2970.34,1,unfamfemale32.jpg
9,4,2,2,2,1,4791.32,2,unfammale28.jpg
9,5,1,4,4,1,1335.23,3,unfammale21.jpg
9,6,1,1,3,0,1797.93,4,unfamfemale10.jpg
9,7,2,2,1,0,1362.38,2,capture003 copy.jpg
9,8,2,3,4,0,2651.85,2,unfammale16.jpg
9,9,1,4,2,0,5698.93,2,capture005 copy.jpg
9,10,2,4,2,0,2814.22,2,capture012 copy.jpg
9,11,1,1,1,1,2982.17,2,unfamfemale21.jpg
9,12,1,4,4,1,2672.27,2,unfamfemale04.jpg
9,13,1,3,1,0,7357.01,2,unfammale25.jpg
9,14,1,2,4,0,2742.35,2,unfamfemale17.jpg
9,15,2,1,1,1,4378.83,2,capture013 copy.jpg
9,16,2,4,2,0,5259.22,2,unfamfemale20.jpg
9,17,2,1,3,0,3459.54,3,capture002 copy.jpg
9,18,1,2,4,0,1435.82,2,capture021 copy.jpg
9,19,2,3,4,0,5402.76,1,unfamfemale38.jpg
9,20,1,1,1,1,1160.52,3,unfammale05.jpg
9,21,1,2,2,1,4351.24,1,capture015 copy.jpg
9,22,1,3,4,0,6495.36,1,unfamfemale40.jpg
9,23,2,2,1,0,3642.84,1,unfamfemale24.jpg
9,24,1,4,2,0,3445.19,2,unfammale02.jpg
9,25,1,4,4,1,2226.29,2,capture010 copy.jpg
9,26,2,2,2,1,3318.93,1,unfamfemale05.jpg
9,27,2,2,1,0,2606.68,1,unfammale12.jpg
9,28,2,3,4,0,10656.37,2,capture011 copy.jpg
9,29,1,1,2,0,2408.56,1,unfamfemale37.jpg
9,30,2,4,1,0,2354.29,2,capture020 copy.jpg
9,31,1,1,1,1,2337.37,2,unfammale19.jpg
9,32,1,2,1,0,4123.07,2,unfammale23.jpg
9,33,2,1,1,1,3877.49,4,capture016 copy.jpg
9,34,2,4,2,0,6664.12,2,capture017 copy.jpg
9,35,2,3,4,0,3785.29,1,unfamfemale15.jpg
9,36,2,3,2,0,3635.65,2,unfammale35.jpg
9,37,2,2,1,0,3608.59,1,unfamfemale03.jpg
9,38,2,4,3,0,2559.97,2,unfamfemale06.jpg
9,39,1,3,2,0,3343.08,2,unfamfemale01.jpg
9,40,1,3,2,0,1465.51,3,unfammale14.jpg
9,41,1,3,3,1,1826.59,2,unfamfemale08.jpg
9,42,2,1,1,1,7636.6,1,unfammale09.jpg
9,43,1,1,1,1,4035.32,2,unfammale38.jpg
9,44,2,4,2,0,1784.53,4,unfammale33.jpg
9,45,2,3,2,0,2986.13,2,capture001 copy.jpg
9,46,2,1,2,0,2948.33,3,unfamfemale39.jpg
9,47,1,3,1,0,4278.33,2,unfammale08.jpg
9,48,2,1,2,0,2656.91,2,unfamfemale26.jpg
10,1,1,1,1,1,2212.97,4,unfamfemale24.jpg
10,2,1,1,3,0,1481.27,2,unfammale12.jpg
10,3,2,1,1,1,2181.44,4,unfamfemale10.jpg
10,4,1,3,3,1,1124.54,4,capture016 copy.jpg
10,5,1,4,4,1,3373.64,3,unfamfemale03.jpg
10,6,2,4,3,0,2373.63,2,unfamfemale04.jpg
10,7,1,3,3,1,2799.3,1,capture002 copy.jpg
10,8,1,2,2,1,1198.3,2,unfamfemale38.jpg
10,9,1,1,1,1,1437.38,3,capture020 copy.jpg
10,10,1,4,4,1,4231.63,1,unfamfemale39.jpg
10,11,2,2,2,1,1062.99,3,unfamfemale21.jpg
10,12,1,3,1,0,1357.7,2,capture013 copy.jpg
10,13,1,2,2,1,1177.9,4,unfammale35.jpg
10,14,2,2,2,1,1339.16,2,unfammale14.jpg
10,15,2,1,1,1,791.22,3,unfammale05.jpg
10,16,2,1,1,1,2429.62,3,unfamfemale32.jpg
10,17,2,3,3,1,1207.15,3,unfammale19.jpg
10,18,2,3,3,1,1205.78,3,unfammale21.jpg
10,19,2,2,2,1,854.91,4,capture021 copy.jpg
10,20,1,3,1,0,2872,2,capture017 copy.jpg
10,21,2,3,3,1,1092.49,2,unfamfemale01.jpg
10,22,1,2,2,1,1149.69,3,capture001 copy.jpg
10,23,2,4,4,1,1120.34,3,unfamfemale40.jpg
10,24,1,3,3,1,1060.24,2,unfamfemale20.jpg
10,25,1,4,4,1,1635.02,3,unfammale09.jpg
10,26,1,2,2,1,2868.57,2,capture012 copy.jpg
10,27,2,3,3,1,964.11,4,unfamfemale08.jpg
10,28,1,3,3,1,2101.35,4,unfammale16.jpg
10,29,1,1,1,1,4823.12,1,unfamfemale06.jpg
